Product_Name,Product_Subcategory,Product_size,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Product_Weight,Product_price,desc
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,128GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,71378,"Apple , Ultrabook, 8GB RAM, 128GB SSD, Intel Core i5 2.3GHz, Intel Iris Plus Graphics 640,1.37kg, Price ₹71378"
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,47895,"Apple , Ultrabook, 8GB RAM, 128GB Flash Storage, Intel Core i5 1.8GHz, Intel HD Graphics 6000,1.34kg, Price ₹47895"
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.86kg,30636,"HP , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,1.86kg, Price ₹30636"
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16GB,512GB SSD,AMD Radeon Pro 455,macOS,1.83kg,135195,"Apple , Ultrabook, 16GB RAM, 512GB SSD, Intel Core i7 2.7GHz, AMD Radeon Pro 455,1.83kg, Price ₹135195"
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8GB,256GB SSD,Intel Iris Plus Graphics 650,macOS,1.37kg,96095,"Apple , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i5 3.1GHz, Intel Iris Plus Graphics 650,1.37kg, Price ₹96095"
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,500GB HDD,AMD Radeon R5,Windows 10,2.1kg,21312,"Acer , Notebook, 4GB RAM, 500GB HDD, AMD A9-Series 9420 3GHz, AMD Radeon R5,2.1kg, Price ₹21312"
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16GB,256GB Flash Storage,Intel Iris Pro Graphics,Mac OS X,2.04kg,114017,"Apple , Ultrabook, 16GB RAM, 256GB Flash Storage, Intel Core i7 2.2GHz, Intel Iris Pro Graphics,2.04kg, Price ₹114017"
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.8GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,macOS,1.34kg,61735,"Apple , Ultrabook, 8GB RAM, 256GB Flash Storage, Intel Core i5 1.8GHz, Intel HD Graphics 6000,1.34kg, Price ₹61735"
Asus,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Nvidia GeForce MX150,Windows 10,1.3kg,79653,"Asus , Ultrabook, 16GB RAM, 512GB SSD, Intel Core i7 8550U 1.8GHz, Nvidia GeForce MX150,1.3kg, Price ₹79653"
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg,41025,"Acer , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Intel UHD Graphics 620,1.6kg, Price ₹41025"
